id,text,url,llama,svm_1,id_new,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
4,Euphrates River Valley Settlement: The Carchemish Sector in the Third Millennium BC (Levant Supplementary Series),https://m.media-amazon.com/images/I/71UxajsS3gL._AC_UY218_ML3_.jpg,syria,1.0,4,levant,"['levant', 'levanto', 'town of levant', 'lebanon', 'nova levante', 'palestine', 'arab', 'east palestine', 'syrian arab republic', 'beirut']",turkey
1567,red-valley-at-sunset-in-cappadocia-turke,"https://static.wixstatic.com/media/da4d7c_5b366cf1231c404fa489e23846fe31c9~mv2.jpg/v1/fill/w_340,h_227,q_90/da4d7c_5b366cf1231c404fa489e23846fe31c9~mv2.jpg",turkey,1.0,1459,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
2098,"Cappadocia, Turkey: Love Valley",http://media-cdn.tripadvisor.com/media/photo-s/01/41/27/10/love-valley.jpg,turkey,1.0,1950,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
2277,"The prehistoric mysterious vehicle tracks as found in the Phrygian Valley of Turkey, with a modern car for scale.",https://www.ancient-origins.net/sites/default/files/styles/large/public/prehistoric-mysterious-vehicle-tracks.jpg?itok=G0k9l15R,turkey,1.0,2112,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
3272,"GOREME, CAPPADOCIA, TURKEY - OCTOBER 24, 2015: Cappadocia, Turkey.The greatest tourist attraction of Cappadocia, the flight with the hot air balloons over the valley in Goreme",https://static3.bigstockphoto.com/thumbs/7/4/1/large2/147703505.jpg,turkey,1.0,3027,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
5400,"single girl walking toward skyline, with one ATV vehicle parked around in wild valley in Cappadocia, Turkey, surrounded among the rocks, dunes and  hills in Goreme National Park, typical terrain landscape in Cappadocia poster",https://static3.bigstockphoto.com/6/4/1/large2/146425562.jpg,turkey,1.0,5004,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
6454,"Unique Geological Formations In Red Valley, Cappadocia, Turkey",https://static2.bigstockphoto.com/thumbs/8/4/1/large2/148768064.jpg,turkey,1.0,5990,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
8857,Butterfly Valley Campsite,http://www.helensburghcc.org.uk/wp-content/uploads/2015/10/2015-10-10-05.36.00-1024x768.jpg,new zealand,1.0,8233,no,['no'],turkey
8876,"Artvin, Turkey - July 2018: Gorgit highland with old houses and green valley in Blacksea region, Artvin, Turkey",https://image.shutterstock.com/image-photo/artvin-turkey-july-2018-gorgit-260nw-1205327455.jpg,turkey,1.0,8250,artvin,"['artvin', 'artres', 'arvin', 'carvin', 'arti', 'artas', 'arţās', 'liévin', 'artjärvi', 'arthon']",turkey
9838,Butterfly valley deep gorge fethiye turkey Royalty Free Stock Photo,https://thumbs.dreamstime.com/t/butterfly-valley-deep-gorge-fethiye-turkey-high-view-canyon-38943255.jpg,turkey,1.0,9148,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
11830,"Spectacular teeth-like rock formation and old christian caves in Zelve Valley in Cappadocia, Turkey",https://image.shutterstock.com/image-photo/stock-photo-spectacular-teeth-like-rock-formation-and-old-christian-caves-in-zelve-valley-in-cappadocia-turkey-250nw-1805846365.jpg,turkey,1.0,11014,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
12710,[TURKEY.CENTRAL 26799 'Fairy chimneys in Görkün Valley-5.'  	The Görkün Valley south of the Cappadocian village of Göreme boasts some of the most spectacular fairy chimneys. The pillars consist of tuff (consolidated volcanic ash) that has been protected from rain erosion by a cap of harder more solidified ash (ignimbrite). Photo Mick Palarczyk.,https://photos.smugmug.com/Features/Asia/Turkey/Turkey-Cappadocia/i-VHKWftV/0/ad621485/L/turkey-26799-L.jpg,turkey,1.0,11836,görkün valley,"['valley', 'meander valley', 'great valley', 'north valley', 'the valley', 'valley hill', 'south valley', 'pine valley', 'holiday valley', 'lenah valley']",turkey
13018,"Butterfly Valley — Faralya, Turkey",https://1.bp.blogspot.com/-JcAZ08xzqJc/UrFXqYgxkXI/AAAAAAABU5Y/n2pr-zghTMY/s1600/Butterfly_Valley_Faralya_Turkey_018.jpg,turkey,1.0,12124,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
13301,The amazing landscape of the Pigeon Valley covered with snow and the misty Uchisar rock on the background Cappadocia Turkey.,https://static3.bigstockphoto.com/2/4/1/large2/142329305.jpg,turkey,1.0,12383,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
13715,"Mountains in the Red Valley of Cappadocia, Turkey Metal Print","https://plc.s6img.com/society6/img/535gn0gaVjYR7i3CSmTJqW79Tuk/h_264,w_264/metal-prints/3x2/front/~artwork/s6-0016/a/5904320_2282092/~~/mountains-in-the-red-valley-of-cappadocia-turkey-metal-prints.jpg?wait=0&attempt=0",turkey,1.0,12766,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
14886,"Buyukdere Valley, and Beicos Bay--Framed Giclee Print",https://imgc.artprintimages.com/img/print/u-l-PVB6NTR8UX1.jpg,turkey,1.0,13863,no,['no'],turkey
14995,"A guide to Cappadocia: The magical, dream like, out of this world landscape that we flew above, history, asia, Europe, things to do, top things to see, what to do, where to go, turkey, turkiye, adventure, explore, romance of travel, bucket list, Fethiye, Goreme, Nevsehir, how to get to cappadocia, bus, flight, plane, Kayseri, Byzantine, Uchisar, Balloon Ride, fairy chimneys, Rose Valley, Cavusin villages, Pigeon Valley, Mount Erciyes, Uchisar castle, Derinkuyu, underground city, Ihlara Valley, desert, Melendiz river, Ağaçaltı cave church, Selime Monastery, things to do in Cappadocia, where to go in cappadocia,",https://i1.wp.com/theroamingrenegades.com/wp-content/uploads/2016/09/DSC07751.jpg?resize=467%2C700&,turkey,1.0,13965,cappadocia,"['capiata', 'capiatá', 'caparaó', 'capalaba', 'caprarola', 'caparrapí', 'capácuaro', 'capinota', 'capodimonte', 'capannori']",turkey
17051,Morning flight above Uchisar town and Goreme valley  in Cappadocia. - stock photo,https://thumb1.shutterstock.com/image-photo/stock-photo-morning-flight-above-uchisar-town-and-goreme-valley-in-cappadocia-450w-394916200.jpg,turkey,1.0,15888,cappadocia,"['capiata', 'capiatá', 'caparaó', 'capalaba', 'caprarola', 'caparrapí', 'capácuaro', 'capinota', 'capodimonte', 'capannori']",turkey
18345,"Wheel ruts in stone, in the Phrygian Valley, Turkey. (Courtesy of Dr. Alexander Koltypin)",https://img.theepochtimes.com/assets/uploads/2016/10/04/stone_roads_1.jpg,turkey,1.0,17094,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
19913,"View of Rock Formations from Aktepe Hill at Sunset over Red Valley, Goreme National Park--Framed Art Print",https://imgc.artprintimages.com/img/print/u-g-Q12Q4ZW9FO8L.jpg,turkey,1.0,18562,red valley,"['valley', 'the valley', 'new valley', 'green valley', 'north valley', 'holiday valley', 'valley green', 'west valley', 'spot valley', 'water valley']",turkey
19962,"Beauty geological formations in Cappadocia, Turkey. Cappadocia with its valley, ravine, hills, located between the volcanic mountains in Goreme National Park.",https://static1.bigstockphoto.com/1/7/1/large2/171525836.jpg,turkey,1.0,18603,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
20485,Unique Geological Formations at Red Valley in Cappadocia,https://cdn.madeinturkeytours.com/wp-content/uploads/2020/11/unique-geological-formations-valley-cappadocia.jpg,turkey,1.0,19094,cappadocia,"['capiata', 'capiatá', 'caparaó', 'capalaba', 'caprarola', 'caparrapí', 'capácuaro', 'capinota', 'capodimonte', 'capannori']",turkey
23163,"Photo Of Amazing Boulders In Devrent Valley, Also Known As Pink Or Imaginary Valley",https://static1.bigstockphoto.com/3/0/4/large2/403285223.jpg,turkey,1.0,21624,devrent valley,"['valley', 'the valley', 'new valley', 'north valley', 'river valley', 'city of valley', 'cool valley', 'valleymount', 'fortitude valley', 'hunter valley']",turkey
23494,"Cappadocia In One Day Small-Group Tour from Istanbul: Rose Valley, Ortahisar, Kaymakli Underground City and Pigeon Valley",https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/37/dc.jpg,turkey,1.0,21933,istanbul,"['i̇stanbul', 'istanbul', 'ankara', 'ankaran', 'turka', 'túrkeve', 'turku', 'turki', 'republic of turkey', 'turkana']",turkey
25144,"A guide to Cappadocia: The magical, dream like, out of this world landscape that we flew above, history, asia, Europe, things to do, top things to see, what to do, where to go, turkey, turkiye, adventure, explore, romance of travel, bucket list, Fethiye, Goreme, Nevsehir, how to get to cappadocia, bus, flight, plane, Kayseri, Byzantine, Uchisar, Balloon Ride, fairy chimneys, Rose Valley, Cavusin villages, Pigeon Valley, Mount Erciyes, Uchisar castle, Derinkuyu, underground city, Ihlara Valley, desert, Melendiz river, Ağaçaltı cave church, Selime Monastery, things to do in Cappadocia, where to go in cappadocia,",https://i1.wp.com/theroamingrenegades.com/wp-content/uploads/2016/10/DSC07900.jpg?resize=400%2C600&ssl=1,turkey,1.0,23472,turkey,"['republic of turkey', 'i̇stanbul', 'istanbul', 'ankara', 'turkaulia', 'ankaran', 'turka', 'turkistan', 'turkestan', 'turkana']",turkey
11,Mongolian Altai.  Scenic valley on the background of the snowcapped mountains. #1454166689,https://image.shutterstock.com/image-photo/image-450w-1454166689.jpg,mongolia,1.0,11,mongolian altai,"['altai', 'altay', 'altata', 'altavista', 'altagracia', 'altach', 'altamira', 'alta', 'älta', 'altair']",mongolia
3532,Aerial view of Orkhon valley Mongolia,https://static.zoonar.com/img/www_repository5/4a/14/1e/11_85a1c1b0194d81e0bb43160d6af0b03a.jpg,mongolia,1.0,3268,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
8562,Adult ethnic woman in national dress looking at camera while standing against traditional ger in valley,https://images.pexels.com/photos/4324954/pexels-photo-4324954.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,mongolia,1.0,7954,no,['no'],mongolia
11224,"Nomadic encampment in the Orkhon River valley, central Mongolia.",https://cdn.britannica.com/s:700x450/44/147344-004-09DB08A8.jpg,mongolia,1.0,10438,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
18163,"rocks red : Landscape with deposit of colorful clay in the Altai Mountains or Mars valley, tilt view",https://vidcdn.123rf.com/450nwm/mik122/mik1221511/mik122151100025.jpg,russia,1.0,16924,altai mountains,"['altai', 'city of alta', 'altadena', 'altagracia', 'altãnia', 'alta', 'älta', 'altamont', 'altata', 'town of terra alta']",mongolia
20607,The Orkhon Valley,http://img.over-blog-kiwi.com/600x450-ct/0/55/99/72/201308/phpa6AjRH,mongolia,1.0,19211,orkhon valley,"['orland hills', 'village of orland hills', 'town of orland', 'village of orwell', 'ormeau hills', 'town of orwell', 'huon valley', 'lenah valley', 'lemmon valley', 'orsan']",mongolia
23682,Scenic view of a green Mongolia - Russia Border valley from rocky outcrop,https://ak.picdn.net/offset/photos/5953f8bb17fb156e48065196/medium/offset_586200.jpg?DFghwDcb,mongolia,1.0,22102,mongolia - russia border,"['mongolia', 'inner mongolia autonomous region', 'north kazakhstan', 'siberia', 'east kazakhstan', 'west kazakhstan', 'republic of kazakhstan', 'european russia', 'town of russia', 'conakry region']",mongolia
30310,"Mongolia,Central Asia,Ovorkhangai province,historical Orkhon valley,UNESCO world heritage,Orkhon flux,flock of sheep, Stock Photo",https://c8.alamy.com/comp/JAH2JW/mongoliacentral-asiaovorkhangai-provincehistorical-orkhon-valleyunesco-JAH2JW.jpg,mongolia,1.0,28285,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
40935,Trees lining the river at the rapids just above Orkhon waterfall | Orkhon valley | Mongolia,http://www.traveladventures.org/countries/mongolia/images/orkhon-valley09.jpg,mongolia,1.0,38198,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
48101,Offroad in Valley of flowers Mongolia Royalty Free Stock Images,https://thumbs.dreamstime.com/t/offroad-valley-flowers-mongolia-off-road-adventure-showcases-some-most-spectacular-varied-historically-53984559.jpg,mongolia,1.0,44888,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
49465,"Mongolian Altai.  Current mountain stream, Scenic valley on the background of the snowcapped mountains. #1446160682",https://image.shutterstock.com/image-photo/image-450w-1446160682.jpg,mongolia,1.0,46183,mongolian altai,"['altai', 'altay', 'altata', 'altavista', 'altagracia', 'altach', 'altamira', 'alta', 'älta', 'altair']",mongolia
50882,View of the valley of Altai river Chulyshman from the slope of m Royalty Free Stock Photos,https://thumbs.dreamstime.com/t/view-valley-altai-river-chulyshman-slope-m-mount-siberia-russia-77260248.jpg,russia,1.0,47519,altai,"['altai', 'altata', 'alta', 'älta', 'altay', 'altadena', 'altagracia', 'altair', 'altaneira', 'altafulla']",mongolia
51617,"Blue car moves along the winding, crooked road. Altai. Valley. Village. Stock Footage",https://d1hw6n3yxknhky.cloudfront.net/070670225_iconm.jpeg,russia,1.0,48212,altai,"['altai', 'altata', 'alta', 'älta', 'altay', 'altadena', 'altagracia', 'altair', 'altaneira', 'altafulla']",mongolia
54523,"Mongolia, Ovorkhangai province, Orkhon valley, Nomad camp, Mongolian horserider - Stock Photo",https://l450v.alamy.com/450v/ha07tt/mongolia-ovorkhangai-province-orkhon-valley-nomad-camp-mongolian-horserider-ha07tt.jpg,mongolia,1.0,50924,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
59876,"Orkhon Valley, Mongolei",https://image.jimcdn.com/app/cms/image/transf/dimension=512x2048:format=jpg/path/s9a29d82a26edafd5/image/ic94895f9163b3fd9/version/1631637921/image.jpg,mongolia,1.0,55913,mongolei,"['mongolia', 'tha khantho', 'republic of kazakhstan', 'turkistan', 'tatarstan', 'monghidoro', 'west kazakhstan', 'tha khanan', 'khandyga', 'north kazakhstan']",mongolia
64056,"View of Orkhon Valley, Karakorum, Mongolia. You see an empty valley but this place was the capital of mongol empire at 13th century. Genghis Khan's used here as army based. Because they were nomadic, there is no building. Ä°t is just like Great Khaan's ti Stockfoto",https://us.123rf.com/450wm/kagemusha/kagemusha1311/kagemusha131100116/23485280-uitzicht-op-orkhon-valley-karakorum-mongoli%C3%83%C2%AB-u-ziet-een-lege-vallei-maar-deze-plek-was-de-hoofdstad-.jpg?ver=6,mongolia,1.0,59818,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
82631,"Mongolie, Arkhangai, La vallee de la la Steppe Jaune, Ovo, monument bouddhiste et chamanique // Mongolia, Arkhangai, Yellow Steppe valley, Ovo, buddhist and shaman monument",https://m.psecn.photoshelter.com/img-get2/I0000J6UHdoPKhCk/fill=/fit=200x200/I0000J6UHdoPKhCk.jpg,mongolia,1.0,77123,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
88512,UO professor Esther Jacobson-Tepfer recording an image stone from the Turkic period in the valley of Postigiin Gol. (Photo: Gary Tepfer),https://around.uoregon.edu/sites/around2.uoregon.edu/files/styles/landscape__small_/public/field/image/jacobson-tepfer_turkic_image_stone2.jpg?itok=bnISe307,mongolia,1.0,82630,postigiin gol,"['gol gol', 'gol', 'gols', 'golwayn', 'gölhisar', 'gölhisar i̇lçesi', 'gola', 'görzig', 'goslar', 'golães']",mongolia
89420,"MONGOLIA, Darhad Valley.  A nomadic shepherd moves her family's flock near their temporary summer corrals.  The Horidal Saridag Mountains and other families' yurts (gers) are in the background.",https://m.psecn.photoshelter.com/img-get2/I00002jsrZqaT9DU/fill=200x200/fit=/I00002jsrZqaT9DU.jpg,mongolia,1.0,83473,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
95005,"Mongolie, Province de Ovorkhangai, Vallee de l'Orkhon, campement nomade, jeune femme à l'intérieur d'une yourte // Mongolia, Ovorkhangai province, Orkhon valley, Nomad camp, young woman in the yurt",https://m.psecn.photoshelter.com/img-get2/I0000dxNkSBChFyo/fill=/fit=200x200/I0000dxNkSBChFyo.jpg,mongolia,1.0,88717,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
105128,"Chuya River Valley landscape, Altai, 4k - stock footage",https://d1hw6n3yxknhky.cloudfront.net/056200553_iconm.jpeg,russia,1.0,98163,altai,"['altai', 'altata', 'alta', 'älta', 'altay', 'altadena', 'altagracia', 'altair', 'altaneira', 'altafulla']",mongolia
108697,"""Left: the Tsagan-Agui cave in Gobi Altai is among the few well-dated Mongolian archaeological monuments; it contains the remains of the cultures of all Paleolithic stages and of later epochs. For 300,000 years, the unique Flint Valley in the desolate Gobi Desert served as a workshop for ancient stone craftsmen. There, at the outcrop of large siliceous breccias, there is a true """"store field"""" of stone tools, over 20 square meters in area, where tens and hundreds of millions of tools are found – up to 600 per square meter!""",https://scfh.ru/files/medialibrary/44c/44cc2f317612ebd0a5880076d34ebdde.jpg,mongolia,1.0,101500,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
126006,"Dukha Woman; Darkhad Valley, Khovsgol, Northern Mongolia",https://static.boredpanda.com/blog/wp-content/uploads/2019/06/003-alexander-khimushin-5d06dae4b438c__880.jpg,mongolia,1.0,117645,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
139281,A blue house with a red roof and a white Ger sit isolated in Mongolia's Orkhon Valley,https://www.bordersofadventure.com/wp-content/uploads/2019/12/A-house-and-ger-rural-life-in-Mongolia-Orkhon-Valley.jpg,mongolia,1.0,130014,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
168251,"4K. Clouds over the valley of the river Khovd, Mongolian Altai, Mongolia. U.. Stock Footage",https://images.pond5.com/4k-clouds-over-valley-river-footage-073979871_iconm.jpeg,mongolia,1.0,157051,mongolia,"['mongolia', 'inner mongolia autonomous region', 'asia', 'siberia', 'north kazakhstan', 'west kazakhstan', 'turkmenistan', 'chiná', 'china', 'republic of kazakhstan']",mongolia
13,Sunrise In Death Valley Men's T-Shirt  (Regular Fit) by Juli Scalzi,https://render.fineartamerica.com/images/rendered/medium/t-shirt/20/25/images-medium-5/sunrise-in-death-valley-juli-scalzi.jpg?&targetx=23&targety=0&imagewidth=384&imageheight=575&modelwidth=430&modelheight=575,no,1.0,13,death valley,"['valley', 'the valley', 'new valley', 'hope valley', 'cool valley', 'happy valley', 'middle valley', 'green valley', 'stillman valley', 'water valley']",united states
25,nicasio valley rd,https://yurides.files.wordpress.com/2015/08/dscn3113.jpg?w=483&h=362,no,1.0,25,no,['no'],united states
29,Monument Valley - Left Mitten 2 Metal Print by Mike McGlothlen,https://render.fineartamerica.com/images/rendered/search/metal-print/images-medium-5/monument-valley-left-mitten-2-mike-mcglothlen.jpg,united states,1.0,29,monument valley,"['valley', 'the valley', 'valley park', 'valley hill', 'rock valley', 'eden valley', 'fortitude valley', 'central valley', 'new valley', 'fountain valley']",united states
65,A Ride Through Napa Valley Acrylic Print,https://render.fineartamerica.com/images/rendered/search/acrylic-print/metalposts/break/images-medium-5/a-ride-through-napa-valley-mike-mcglothlen.jpg,no,1.0,62,napa valley,"['valley', 'bega valley', 'north valley', 'the valley', 'holiday valley', 'paradise valley', 'sun valley', 'pleasant valley', 'new valley', 'leona valley']",united states
69,Ski Lifts At Squaw Valley In California Beach Towel,https://render.fineartamerica.com/images/rendered/search/flat/beach-towel/images-medium-5/ski-lifts-at-squaw-valley-in-california-underwood-archives.jpg,california,1.0,66,california,"['califórnia', 'california', 'la california', 'southern california', 'cali', 'new california', 'california city', 'califon', 'los ángeles', 'los angeles']",united states
167,Winding road artists drive in the death valley scenic Stock Photography,https://thumbs.dreamstime.com/m/winding-road-artists-drive-death-valley-scenic-38618522.jpg,united states,1.0,158,death valley,"['valley', 'the valley', 'new valley', 'hope valley', 'cool valley', 'happy valley', 'middle valley', 'green valley', 'stillman valley', 'water valley']",united states
192,Napa Valley Vineyard In Autumn Colors Metal Print by Wingsdomain Art and Photography,https://render.fineartamerica.com/images/rendered/small/metal-print/images-square-real/napa-valley-vineyard-in-autumn-colors-wingsdomain-art-and-photography.jpg,no,1.0,180,napa valley,"['valley', 'bega valley', 'north valley', 'the valley', 'holiday valley', 'paradise valley', 'sun valley', 'pleasant valley', 'new valley', 'leona valley']",united states
195,Mountain Valley Greeting Cards - Colorado Countryside Greeting Card by Janice Rae Pariza,http://render.fineartamerica.com/images/rendered/medium/greeting-card/images-medium-5/colorado-countryside-janice-rae-pariza.jpg,colorado,1.0,183,colorado,"['colorado', 'colorado city', 'el colorado', 'colorado springs', 'denver', 'colorado county', 'denver city', 'san juan colorado', 'cerro colorado', 'town of colorado city']",united states
199,The Wines And Wineries Of Oregon's Willamette Valley,https://images-na.ssl-images-amazon.com/images/I/51xUhmpQwfL._AA218_.jpg,oregon,1.0,187,oregon's willamette valley,"['oregon', 'town of oregon', 'southern oregon', 'central oregon', 'village of oregon', 'city of oregon', 'oregon county', 'valley', 'oregon city', 'north valley']",united states
212,"HOLCOMB VALLEY SCOUT RANCH, 1974-1998",https://cdn.shopify.com/s/files/1/0220/5007/8792/products/CA14936_580x.jpg?v=1560473867,united states,1.0,199,holcomb valley scout ranch,"['star valley ranch', 'town of star valley ranch', 'village of holley', 'mountain ranch', 'hunt valley', 'highlands ranch', 'hunter valley', 'forest ranch', 'valley mills', 'spring valley']",united states
216,Yosemite Valley View Timelapse,https://d38zjy0x98992m.cloudfront.net/cae70ac8-f0fd-472a-a4b7-9a91bee3053f/OS1989_F0476_xgaplus.jpg,united states,1.0,203,yosemite valley,"['yosemite valley', 'yosemite lakes', 'valley', 'the valley', 'north valley', 'apple valley', 'mead valley', ""george's valley"", 'mill valley', 'west valley']",united states
